mode,n_tunnels,wg_mtu,gbps,nvme_GBps,rw,gbps_per_core_equiv,sender_pps,busy_core_equiv_a,busy_core_equiv_b,cores_gt90_a,cores_gt90_b,max_core_util_a,max_core_util_b,softirq_top_share_a,softirq_top_share_b,top_threads_a,top_threads_b,bw_out_a,bw_in_a,bw_out_b,bw_in_b,pps_a,pps_b,conntrack_a,conntrack_b,srd_tx_a,srd_tx_b,binding_limit
align,16,8921,68.54955591228043,0,,1.627096033996687,968816,18.33,42.13,0,6,21.3,100,0.108,0.122,|__napi/wg1-0:26 |__napi/wg8-0:24 |__napi/wg0-0:24 |__napi/wg13-0:24,|__iperf3:41 |__iperf3:41 |__iperf3:40 |__iperf3:40,0,0,0,0,0,0,0,0,0,0,CPU / crypto
align,24,8921,75.7807109760618,0,,1.4056893150818364,1056121,19.92,53.91,0,5,23.2,100,0.103,0.087,|__napi/wg20-0:20 |__napi/wg7-0:19 |__napi/wg0-0:19 |__napi/wg14-0:19,|__kworker/174:0-mm_percpu_wq:11 |__kworker/156:0-events:11 |__kworker/163:0-mm_percpu_wq:11 |__kworker/153:0-wg-crypt-wg17:11,0,0,0,0,0,0,0,0,0,0,CPU / crypto
align,32,8921,79.2542004165428,0,,1.2916264735420926,1104595,20.92,61.36,0,9,19.1,100,0.072,0.077,|__napi/wg29-0:17 |__napi/wg14-0:17 |__napi/wg9-0:16 |__napi/wg7-0:16,|__iperf3:43 |__iperf3:41 |__iperf3:40 |__iperf3:40,0,0,0,0,0,0,0,0,0,0,CPU / crypto
ena_express,1,8921,7.887701423115078,0,,2.234476323828634,111539,1.9,3.53,0,0,10.5,44.5,0.768,0.715,|__iperf3:21 |__napi/wg0-0:16 |__pidstat:10 |__kworker/1:1-wg-crypt-wg0:6,|__iperf3:38 |__napi/wg0-0:38 |__pidstat:11 |__kworker/1:3-wg-crypt-wg0:8,0,0,0,0,0,0,0,0,15,521443,single RX queue (need more tunnels)
ena_express,2,8921,15.690157867483308,0,,2.247873619983282,222229,3.73,6.98,0,0,22.6,78.3,0.384,0.435,|__napi/wg1-0:23 |__napi/wg0-0:15 |__iperf3:15 |__iperf3:15,|__iperf3:36 |__iperf3:36 |__napi/wg0-0:33 |__napi/wg1-0:32,0,0,0,0,0,0,0,0,42,986159,linear region (unbound)
ena_express,4,8921,27.78170681806202,0,,2.0951513437452505,393807,7.15,13.26,0,0,25.8,84.5,0.205,0.254,|__napi/wg1-0:24 |__napi/wg3-0:23 |__napi/wg2-0:22 |__napi/wg0-0:22,|__iperf3:36 |__iperf3:36 |__napi/wg0-0:34 |__napi/wg2-0:33,0,0,0,0,0,0,0,0,39,1636495,linear region (unbound)
ena_express,8,8921,45.53991077309886,0,,1.8303822657997935,645572,12.13,24.88,0,0,25.7,85.5,0.138,0.149,|__napi/wg4-0:28 |__napi/wg7-0:27 |__napi/wg2-0:27 |__napi/wg5-0:26,|__iperf3:44 |__iperf3:44 |__iperf3:44 |__iperf3:44,0,0,0,0,0,0,0,0,51,2150637,linear region (unbound)
ena_express,12,8921,54.73658705121424,0,,1.5087262142010538,772351,14.37,36.28,0,1,20.9,98.5,0.112,0.084,|__napi/wg10-0:26 |__napi/wg7-0:24 |__napi/wg2-0:22 |__napi/wg5-0:22,|__iperf3:64 |__iperf3:64 |__iperf3:64 |__iperf3:63,0,0,0,0,0,0,0,0,306,1237252,CPU / crypto
ena_express,16,8921,55.51973916693539,0,,1.3060395005160055,781421,14.21,42.51,0,1,20.3,100,0.089,0.069,|__napi/wg10-0:17 |__napi/wg5-0:16 |__napi/wg12-0:15 |__napi/wg15-0:15,|__ksoftirqd/1:7 |__ksoftirqd/25:6 |__ksoftirqd/5:6 |__ksoftirqd/20:6,0,0,0,0,0,0,0,0,12627,848207,CPU / crypto
ena_express,24,8921,55.71929432363798,0,,1.0760775265283504,781252,13.99,51.78,0,1,18.4,100,0.09,0.058,|__pidstat:10 |__napi/wg22-0:10 |__napi/wg10-0:10 |__napi/wg16-0:9,|__kworker/22:3-wg-crypt-wg21:8 |__kworker/4:1-wg-crypt-wg3:8 |__kworker/1:3-wg-crypt-wg18:8 |__kworker/1:0-wg-crypt-wg5:7,0,0,0,0,0,0,0,0,27530,648951,CPU / crypto
